GAME_ID,game_date,player_name,winner_names,deflections,charges_drawn,usage_rate,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,minutes_decimal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,player_name_key,y,stocks,points_per_min,oreb_per_min,reb_per_min,ast_per_min,hustle_proxy,points_rank,reboundsOffensive_rank,reboundsTotal_rank,assists_rank,steals_rank,blocks_rank,plusMinusPoints_rank,minutes_decimal_rank
0021600130,2016-11-12,James Young,James Young,,,0.00154,21600130,1610612738,Boston,Celtics,BOS,celtics,203923,James,Young,J. Young,james-young,G,,,16:22,16.366666666666667,5,6,0.833,2,3,0.667,0,0,0.0,2,1,3,1,2,0,0,0,12,7.0,james young,1,2.0,0.7332,0.1222,0.1833,0.0611,4.0,5.0,3.0,7.0,6.0,1.0,7.0,3.0,8.0
0021600681,2017-01-25,Jae Crowder,Jae Crowder,,,,21600681,1610612738,Boston,Celtics,BOS,celtics,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,35:41,35.68333333333333,8,18,0.444,1,8,0.125,6,6,1.0,1,9,10,4,1,0,1,3,23,15.0,jae crowder,1,1.0,0.6446,0.028,0.2802,0.1121,2.0,2.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0
0021600697,2017-01-27,Jaylen Brown,Jaylen Brown,,,,21600697,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,G,,,30:22,30.366666666666667,6,13,0.462,2,5,0.4,6,8,0.75,1,7,8,2,0,0,1,5,20,14.0,jaylen brown,1,0.0,0.6586,0.0329,0.2634,0.0659,1.0,2.0,2.0,1.0,5.0,6.0,6.0,7.0,1.0
0021600706,2017-01-28,Jae Crowder,Jae Crowder,,,,21600706,1610612738,Boston,Celtics,BOS,celtics,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,38:15,38.25,5,13,0.385,4,10,0.4,6,6,1.0,1,5,6,4,0,1,0,4,20,13.0,jae crowder,1,1.0,0.5229,0.0261,0.1569,0.1046,2.0,2.0,3.0,4.0,3.0,6.0,1.0,1.0,2.0
0021600721,2017-01-30,Isaiah Thomas,Isaiah Thomas,,,,21600721,1610612738,Boston,Celtics,BOS,celtics,202738,Isaiah,Thomas,I. Thomas,isaiah-thomas,G,,,37:14,37.23333333333333,11,23,0.478,4,11,0.364,15,15,1.0,0,0,0,8,2,0,3,4,41,-10.0,isaiah thomas,1,2.0,1.1012,0.0,0.0,0.2149,2.0,1.0,6.0,10.0,1.0,1.0,4.0,10.0,1.0
0021600732,2017-02-01,Marcus Smart,Marcus Smart,,,,21600732,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,34:48,34.8,4,11,0.364,1,5,0.2,1,2,0.5,2,3,5,5,2,0,2,3,10,8.0,marcus smart,1,2.0,0.2874,0.0575,0.1437,0.1437,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0
0021600751,2017-02-03,Isaiah Thomas,Isaiah Thomas,,,,21600751,1610612738,Boston,Celtics,BOS,celtics,202738,Isaiah,Thomas,I. Thomas,isaiah-thomas,G,,,37:41,37.68333333333333,13,24,0.542,5,11,0.455,7,7,1.0,0,2,2,4,1,0,6,2,38,3.0,isaiah thomas,1,1.0,1.0084,0.0,0.0531,0.1061,1.0,1.0,6.0,9.0,3.0,3.0,2.0,5.0,1.0
0021600793,2017-02-08,Amir Johnson,Amir Johnson,,,,21600793,1610612738,Boston,Celtics,BOS,celtics,101161,Amir,Johnson,A. Johnson,amir-johnson,F,,,26:33,26.55,6,7,0.857,2,2,1.0,0,0,0.0,1,5,6,1,3,0,2,0,14,2.0,amir johnson,1,3.0,0.5273,0.0377,0.226,0.0377,4.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0
0021600798,2017-02-09,Marcus Smart,Marcus Smart,,,,21600798,1610612738,Boston,Celtics,BOS,celtics,203935,Marcus,Smart,M. Smart,marcus-smart,G,,,37:30,37.5,8,13,0.615,0,2,0.0,2,3,0.667,1,5,6,5,5,0,0,2,18,10.0,marcus smart,1,5.0,0.48,0.0267,0.16,0.1333,6.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0
0021600815,2017-02-11,Gerald Green,Gerald Green,,,0.002,21600815,1610612738,Boston,Celtics,BOS,celtics,101123,Gerald,Green,G. Green,gerald-green,F,,,22:51,22.85,7,8,0.875,2,3,0.667,0,0,0.0,0,0,0,0,0,0,1,3,16,10.0,gerald green,1,0.0,0.7002,0.0,0.0,0.0,0.0,3.0,4.0,9.0,7.0,4.0,4.0,2.0,6.0
