GAME_ID,game_date,blank_rows
0021600015,2016-10-27,1
0021600027,2016-10-29,1
0021600061,2016-11-02,1
0021600148,2016-11-14,1
0021600161,2016-11-16,1
0021600179,2016-11-18,1
0021600217,2016-11-23,1
0021600283,2016-12-02,1
0021600311,2016-12-05,1
0021600456,2016-12-25,1
0021600618,2017-01-16,1
0021600826,2017-02-13,1
0021600858,2017-02-24,2
0021600879,2017-02-26,1
0021600929,2017-03-05,1
0021600959,2017-03-08,2
0021601047,2017-03-20,1
0021601145,2017-04-02,1
0021601177,2017-04-06,1
0021601219,2017-04-12,1
0021700001,2017-10-17,1
0021700051,2017-10-24,2
0021700092,2017-10-30,1
0021700138,2017-11-05,1
0021700146,2017-11-06,1
0021700170,2017-11-10,1
0021700215,2017-11-16,1
0021700249,2017-11-20,1
0021700257,2017-11-22,1
0021700423,2017-12-15,2
0021700436,2017-12-16,2
0021700468,2017-12-21,1
0021700559,2018-01-03,3
0021700614,2018-01-11,2
0021700663,2018-01-18,1
0021700784,2018-02-04,1
0021700820,2018-02-09,1
0021700998,2018-03-11,2
0021701047,2018-03-18,1
0021701099,2018-03-25,1
0021701107,2018-03-26,3
0021701140,2018-03-31,2
0021701185,2018-04-06,1
0021701202,2018-04-08,2
0021701215,2018-04-10,1
0021800001,2018-10-16,2
0021800115,2018-11-01,1
0021800319,2018-11-30,1
0021800383,2018-12-08,1
0021800393,2018-12-10,1
0021800458,2018-12-19,1
0021800488,2018-12-23,1
0021800558,2019-01-02,1
0021800617,2019-01-10,3
0021800698,2019-01-21,1
0021800707,2019-01-23,1
0021800931,2019-03-01,1
0021800989,2019-03-09,1
0021801006,2019-03-11,3
0021801022,2019-03-14,1
0021801034,2019-03-16,1
0021801100,2019-03-24,2
0021801153,2019-04-01,1
0021801170,2019-04-03,3
0021900017,2019-10-25,1
0021900029,2019-10-26,1
0021900058,2019-10-30,2
0021900098,2019-11-05,1
0021900127,2019-11-09,1
0021900244,2019-11-25,1
0021900253,2019-11-27,1
0021900285,2019-12-01,1
0021900344,2019-12-09,1
0021900455,2019-12-25,1
0021900466,2019-12-27,1
0021900473,2019-12-28,1
0021900517,2020-01-03,1
0021900542,2020-01-06,1
0021900554,2020-01-08,1
0021900593,2020-01-13,2
0021900604,2020-01-15,1
0021900648,2020-01-20,1
0021900691,2020-01-26,2
0021900732,2020-02-01,1
0021900756,2020-02-05,2
0021900806,2020-02-11,1
0021900818,2020-02-13,1
0021900830,2020-02-21,1
0021900842,2020-02-23,1
0021900949,2020-03-08,1
0021901260,2020-08-04,1
0022000007,2020-12-25,4
0022000233,2021-01-22,1
0022000379,2021-02-09,1
0022000398,2021-02-11,3
0022000490,2021-02-24,1
0022000598,2021-03-14,1
0022000620,2021-03-17,1
0022000631,2021-03-19,1
0022000658,2021-03-22,2
0022000669,2021-03-24,1
0022000685,2021-03-26,1
0022000699,2021-03-27,1
0022000723,2021-03-31,1
0022000738,2021-04-02,2
0022000757,2021-04-04,1
0022000771,2021-04-06,4
0022000778,2021-04-07,1
0022000792,2021-04-09,1
0022000806,2021-04-11,2
0022000842,2021-04-15,1
0022000869,2021-04-19,1
0022000892,2021-04-22,1
0022000911,2021-04-25,2
0022000968,2021-05-02,1
0022000160,2021-05-07,4
0022001044,2021-05-12,1
0022100020,2021-10-22,1
0022100110,2021-11-03,1
0022100121,2021-11-04,2
0022100215,2021-11-17,4
0022100243,2021-11-20,3
0022100256,2021-11-22,1
0022100390,2021-12-10,1
0022100408,2021-12-13,5
0022100435,2021-12-17,1
0022100471,2021-12-22,2
0022100595,2022-01-08,1
0022100618,2022-01-12,2
0022100635,2022-01-14,1
0022100654,2022-01-17,1
0022100688,2022-01-21,1
0022100699,2022-01-23,2
0022100737,2022-01-28,1
0022100745,2022-01-29,4
0022100762,2022-01-31,3
0022100806,2022-02-06,1
0022100890,2022-02-24,1
0022100914,2022-02-27,1
0022100981,2022-03-09,3
0022100997,2022-03-11,2
0022101042,2022-03-16,2
0022101057,2022-03-18,2
0022101068,2022-03-20,1
0022101087,2022-03-23,2
0022101116,2022-03-27,1
0022101166,2022-04-03,1
0022101193,2022-04-06,1
0022200001,2022-10-18,1
0022200030,2022-10-22,1
0022200047,2022-10-24,2
0022200089,2022-10-30,1
0022200176,2022-11-11,2
0022200214,2022-11-16,1
0022200231,2022-11-18,1
0022200264,2022-11-23,2
0022200294,2022-11-27,1
0022200328,2022-12-02,1
0022200346,2022-12-04,3
0022200392,2022-12-10,1
0022200482,2022-12-23,1
0022200507,2022-12-27,1
